,full_pathname,filename,recanvo_id,function,mean_valence,mean_arousal,duration,mean_pitch,pitch_range,min_pitch,max_pitch,stdev_pitch,mean_intensity,intensity_range,min_intensity,max_intensity,formant1_mean,formant2_mean,formant3_mean,formant1_stdev,formant2_stdev,formant3_stdev,local_jitter,local_abs_jitter,rap_jitter,ppq5_jitter,ddp_jitter,local_shimmer,local_db_shimer,apq3_shimmer,apq5_shimmer,apq11_shimmer,dda_shimmer,hnr
134,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210216_0956_00-00-08.23--00-00-08.74.wav,210216_0956_00-00-08.23--00-00-08.74.wav,p16,request,3.037037037,2.472222222,0.504988662,317.0670317,37.16804962,288.2422562,325.4103059,8.541873087,75.70602273,31.97022878,50.09771113,82.06793991,623.4962973,1651.857676,2807.093168,128.7099671,333.0553586,407.7549404,0.014538006,4.58E-05,0.004964781,0.008236703,0.014894344,0.088370942,1.121864039,0.032072193,0.048112842,0.051294226,0.09621658,12.79300401
135,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 request survey/210114_1632_00-00-08.4--00-00-09.04.wav,210114_1632_00-00-08.4--00-00-09.04.wav,p16,request,3.361111111,3.518518519,0.63,471.1391081,387.7108531,197.8612285,585.5720815,75.59546708,77.77775393,32.53996094,52.13651485,84.67647579,1045.076214,1784.13386,2517.580901,217.5901331,373.7304302,507.7935823,0.076013377,0.000170009,0.044930831,0.052295331,0.134792494,0.219825499,1.929705708,0.087802198,0.117504874,0.523629557,0.263406595,9.69956889
136,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 self talk survey/210113_1436_00-00-36.66--00-00-37.28c.wav,210113_1436_00-00-36.66--00-00-37.28c.wav,p16,selftalk,2.925925926,2.138888889,0.631360544,377.9607703,102.9687818,326.707775,429.6765568,36.40940876,62.28062215,23.13646019,45.55069143,68.68715162,786.9772165,1635.973955,2731.420077,339.9322513,341.8089015,352.0966488,0.027812707,7.36E-05,0.014620023,0.01453551,0.043860069,0.162160274,1.441787545,0.087443912,0.118359002,0.136606081,0.262331737,8.081789314
137,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 self talk survey/210201_1359_00-00-20.81--00-00-21.61c.wav,210201_1359_00-00-20.81--00-00-21.61c.wav,p16,selftalk,2.675925926,1.712962963,0.70185941,201.0682201,253.9042313,94.56609223,348.4703235,113.3996939,52.75760663,23.33818068,37.98286428,61.32104496,874.8659956,1851.447616,3060.412495,381.5874012,566.0488807,508.5740294,0.019672372,9.69E-05,0.010308149,0.009846092,0.030924448,0.14631405,1.460371581,0.079278176,0.099738702,0.105359067,0.237834529,7.972507481
138,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 self talk survey/210201_1416_00-01-57.42--00-01-59.4.wav,210201_1416_00-01-57.42--00-01-59.4.wav,p16,selftalk,3.490740741,3.222222222,1.988004535,364.423931,253.8743988,235.7950857,489.6694845,51.02560908,72.8742808,29.68375608,53.68626379,83.37001987,879.7840491,1566.448515,2643.077384,167.0181653,146.6217312,253.0046744,0.023859682,6.59E-05,0.01269643,0.013283585,0.038089291,0.135101235,1.326052731,0.054002271,0.082283769,0.147202051,0.162006814,11.35568566
139,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 self talk survey/210216_1046_00-01-08.96--00-01-10.96.wav,210216_1046_00-01-08.96--00-01-10.96.wav,p16,selftalk,,,1.995986395,311.2509857,283.2425727,151.652287,434.8948596,100.4768673,72.36249095,36.57141993,44.54054924,81.11196917,660.5323241,1465.614101,2575.647627,123.5758135,204.9954364,170.6680482,0.024691022,7.92E-05,0.013165321,0.014657109,0.039495963,0.157338442,1.396537097,0.066854363,0.110891559,0.220469094,0.200563089,12.22936652
140,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 self talk survey/210201_1359_00-00-10.88--00-00-11.76c.wav,210201_1359_00-00-10.88--00-00-11.76c.wav,p16,selftalk,2.712962963,1.796296296,0.856666667,365.0036351,75.45078467,330.5043334,405.9551181,19.53923705,55.65994755,25.38993885,37.10571692,62.49565577,595.5828543,1483.85424,2627.524226,285.2977451,335.9464209,317.4920476,0.032480719,8.92E-05,0.017941552,0.018873115,0.053824657,0.172770351,1.607489457,0.080294805,0.092368182,0.123008832,0.240884415,10.26561779
141,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 self talk survey/210113_1436_00-01-07.21--00-01-09.13.wav,210113_1436_00-01-07.21--00-01-09.13.wav,p16,selftalk,3.416666667,2.935185185,1.92,472.8352791,361.3189639,264.6616122,625.9805761,105.7599852,72.15457233,30.03303051,50.60489198,80.63792248,1056.633624,1636.195619,2465.789031,174.3475739,257.9641062,328.0691038,0.024065817,5.11E-05,0.013045782,0.01322782,0.039137347,0.097964545,1.182577356,0.043384125,0.058808331,0.084284481,0.130152376,12.80267532
142,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 self talk survey/210113_1436_00-01-04.02--00-01-05.78.wav,210113_1436_00-01-04.02--00-01-05.78.wav,p16,selftalk,3.657407407,3.666666667,1.757981859,381.4153768,418.079993,213.944881,632.024874,89.29412868,77.4974536,35.052782,48.67227969,83.72506169,993.514005,1639.845645,2644.992037,164.9970413,185.7433948,247.9377256,0.028991603,7.65E-05,0.01548292,0.018049844,0.046448759,0.145395756,1.378214001,0.075028631,0.091942435,0.118801586,0.225085894,10.9085198
143,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p16/p16 self talk survey/210113_1436_00-01-09.69--00-01-11.31.wav,210113_1436_00-01-09.69--00-01-11.31.wav,p16,selftalk,3.435185185,3.018518519,1.628004535,431.3339232,421.9199022,168.3467902,590.2666925,110.802104,72.67491776,34.01575803,49.4933772,83.50913522,1043.66622,1635.77558,2469.303989,224.7434409,333.5574211,401.6663291,0.030149087,7.02E-05,0.015364187,0.016469133,0.046092561,0.132163964,1.325599821,0.069039238,0.088516181,0.119171792,0.207117714,10.46252533
